1)NOTE: Values of ts are given by the following table:
New Task
Old Task 		To 32 Bit TSS 	To 16 Bit TSS 	To VM TSS
AF 		SCAS m32	 	4 		Compare dwords EAX-ES:[(E)DI], update (E)DI
AE 		SCASB 			4 		Compare bytes AL-ES:[(E)DI], update (E)DI
AF 		SCASW 			4 		Compare words AX-ES:[(E)DI], update (E)DI
AF 		SCASD 			4 		Compare dwords EAX-ES:[(E)DI], update (E)DI
0F 97 		SETA r/m8 		1/2 		Set byte if above (CF=0 and ZF=0)
0F 93 		SETAE r/m8 		1/2 		Set byte if above or equal (CF=0)
0F 92 		SETB r/m8 		1/2 		Set byte if below (CF=1)
0F 96 		SETBE r/m8 		1/2 		Set byte if below or equal (CF=1 or (ZF=1)
0F 92 		SETC r/m8 		1/2 		Set if carry (CF=1)
0F 94 		SETE r/m8 		1/2 		Set byte if equal (ZF=1)
0F 9F 		SETG r/m8 		1/2 		Set byte if greater (ZF=0 and SF=OF)
0F 9D 		SETGE r/m8 		1/2 		Set byte if greater or equal (SF=OF)
0F 9C 		SETL r/m8 		1/2 		Set byte if less (SF<>OF)
0F 9E 		SETLE r/m8 		1/2 		Set byte if less or equal (ZF=1 or SF<>OF)
0F 96 		SETNA r/m8 		1/2 		Set byte if not above (CF=1 or ZF=1)
0F 92 		SETNAE r/m8	 	1/2 		Set byte if not above or equal (CF=1)
0F 93 		SETNB r/m8 		1/2 		Set byte if not below (CF=0)
0F 97 		SETNBE r/m8 		1/2 		Set byte if not below or equal (CF=0 and ZF=0)
0F 93 		SETNC r/m8 		1/2 		Set byte if not carry (CF=0)
0F 95 		SETNE r/m8 		1/2 		Set byte if not equal (ZF=0)
0F 9E 		SETNG r/m8 		1/2 		Set byte if not greater (ZF=1 or SF<>OF)
0F 9C 		SETNGE r/m8 		1/2 		Set if not greater or equal (SF<>OF)
0F 9D 		SETNL r/m8 		1/2 		Set byte if not less (SF=OF)
0F 9F 		SETNLE r/m8 		1/2 		Set byte if not less or equal (ZF=0 and SF=OF)
0F 91 		SETNO r/m8 		1/2 		Set byte if not overflow (OF=0)
0F 9B 		SETNP r/m8 		1/2 		Set byte if not parity (PF=0)
0F 99 		SETNS r/m8 		1/2 		Set byte if not sign (SF=0)
0F 95 		SETNZ r/m8 		1/2 		Set byte if not zero (ZF=0)
0F 90 		SETO r/m8 		1/2 		Set byte if overflow (OF=1)
0F 9A 		SETP r/m8 		1/2 		Set byte if parity (PF=1)
0F 9A 		SETPE r/m8 		1/2 		Set byte if parity even (PF=1)
0F 9B 		SETPO r/m8 		1/2 		Set byte if parity odd (PF=0)
0F 98 		SETS r/m8 		1/2 		Set byte if sign (SF=1)
0F 94 		SETZ r/m8 		1/2 		Set byte if zero (ZF=1)
0F 01 /0 	SGDT m 			4 		Store GDTR to m
0F 01 /1 	SIDT m 			4 		Store IDTR to m
0F A4 		SHLD r/m16,r16,imm8 	4 		r/m16 gets SHL of r/m16 concatenated with r16
0F A4 		SHLD r/m32,r32,imm8 	4 		r/m32 gets SHL of r/m32 concatenated with r32
0F A5 		SHLD r/m16,r16,CL 	4/5 		r/m16 gets SHL of r/m16 concatenated with r16
0F A5 		SHLD r/m32,r32,CL 	4/5 		r/m32 gets SHL of r/m32 concatenated with r32
0F AC 		SHRD r/m16,r16,imm8 	4 r/m16 	gets SHR of r/m16 concatenated with r16
0F AC 		SHRD r/m32,r32,imm8 	4 r/m32 	gets SHR of r/m32 concatenated with r32
0F AD 		SHRD r/m16,r16,CL 	4/5 		r/m16 gets SHR of r/m16 concatenated with r16
0F AD 		SHRD r/m32,r32,CL 	4/5 		r/m32 gets SHR of r/m32 concatenated with r32
0F 00 /0 	SLDT r/m16 		2 		Store LDTR to EA word
0F 00 /0 	SLDT r/m32 		2 		Store LDTR to low 16 bits of r/m32 High 16 bits are undefined
0F 01 /4 	SMSW r/m16 		4 		Store machine status word to EA word
F9 		STC 			2 		Set carry flag
FD 		STD 			2 		Set direction flag so (E)SI and/or (E)DI decrement
FB 		STI 			7 		Set interrupt flag; interrupts enabled at the end of the next instruction
AA 		STOS m8 		3 		Store AL in byte ES:[(E)DI], update (E)DI
AB 		STOS m16 		3		Store AX in word ES:[(E)DI], update (E)DI
AB 		STOS m32 		3 		Store EAX in dword ES:[(E)DI], update (E)DI
AA 		STOSB 			3 		Store AL in byte ES:[(E)DI], update (E)DI
AB 		STOSW 			3 		Store AX in word ES:[(E)DI], update (E)DI
AB 		STOSD 			3 		Store EAX in dword ES:[(E)DI], update (E)DI
0F 00 /1 	STR r/m16 		2 		Store task register to EA word
2C ib 		SUB AL,imm8 		1 		Subtract immediate byte from AL
2D iw 		SUB AX,imm16 		1 		Subtract immediate word from AX
2D id 		SUB EAX,imm32 		1 		Subtract immediate dword from EAX
80 /5 ib 	SUB r/m8,imm8 		1/3 		Subtract immediate byte from r/m byte
81 /5 iw 	SUB r/m16,imm16 	1/3 		Subtract immediate word from r/m word
81 /5 id 	SUB r/m32,imm32 	1/3 		Subtract immediate dword from r/m dword
83 /5 ib 	SUB r/m16,imm8 		1/3 		Subtract sign-extended immediate byte from r/m word
83 /5 ib 	SUB r/m32,imm8 		1/3 		Subtract sign-extended immediate byte from r/m dword
28 /r 		SUB r/m8,r8 		1/3 		Subtract byte register from r/m byte
29 /r 		SUB r/m16,r16 		1/3 		Subtract word register from r/m word
29 /r 		SUB r/m32,r32 		1/3 		Subtract dword register from r/m dword
2A /r 		SUB r8,r/m8 		1/2 		Subtract r/m byte from byte register
2B /r 		SUB r16,r/m16 		1/2 		Subtract r/m word from word register
2B /r 		SUB r32,r/m32 		1/2 		Subtract r/m dword from dword register
A8 ib 		TEST AL,imm8 		1 		AND immediate byte with AL
A9 iw 		TEST AX,imm16 		1 		AND immediate word with AX
A9 id 		TEST EAX,imm32 		1 		AND immediate dword with EAX
F6 /0 ib 	TEST r/m8,imm8 		1/2 		AND immediate byte with r/m byte
F7 /0 iw 	TEST r/m16,imm16 	1/2 		AND immediate word with r/m word
F7 /0 id 	TEST r/m32,imm32	1/2 		AND immediate dword with r/m dword
84 /r 		TEST r/m8,r8 		1/2 		AND byte register with r/m byte
85 /r 		TEST r/m16,r16 		1/2 		AND word register with r/m word
85 /r 		TEST r/m32,r32 		1/2 		AND dword register with r/m dword
0F 00 /4 	VERR r/m16 		7 		Set ZF=1 if segment can be read, selector in r/m16
0F 00 /5 	VERW r/m16 		7 		Set ZF=1 if segment can be written, selector in r/m16
9B 		WAIT 			1 		Causes processor to check for numeric exceptions.
0F 09 		WBINVD 			2000+ 		Write-Back and Invalidate Entire Cache
0F 30 		WRMSR 			30-45 		Write the value in EDX:EAX to Model Specific Register indicated by ECX
0F C0/r 	XADD r/m8,r8 		3/4 		Exchange byte register and r/m byte; load sum into r/m byte.
0F C1/r 	XADD r/m16,r16 		3/4 		Exchange word register and r/m word; load sum into r/m word.
0F C1/r 	XADD r/m32,r32 		3/4 		Exchange dword register and r/m dword; load sum into r/m dword.
90+rw 		XCHG AX,r16 		2 		Exchange word register with AX
90+rw 		XCHG r16,AX 		2 		Exchange word register with AX
90+rd 		XCHG EAX,r32 		2 		Exchange dword register with EAX
90+rd 		XCHG r32,EAX 		2 		Exchange dword register with EAX
86 /r 		XCHG r/m8,r8 		3 		Exchange byte register with EA byte
86 /r 		XCHG r8,r/m8 		3 		Exchange byte register with EA byte
87 /r 		XCHG r/m16,r16 		3 		Exchange word register with EA word
87 /r 		XCHG r16,r/m16 		3 		Exchange word register with EA word
87 /r 		XCHG r/m32,r32 		3 		Exchange dword register with EA dword
87 /r 		XCHG r32,r/m32 		3 		Exchange dword register with EA dword
D7 		XLAT m8 		4 		Set AL to memory byte DS:[(E)BX + unsigned AL]
D7 		XLATB 			4 		Set AL to memory byte DS:[(E)BX + unsigned AL]
34 ib 		XOR AL,imm8 		1 		Exclusive-OR immediate byte to AL
35 iw 		XOR AX,imm16 		1 		Exclusive-OR immediate word to AX
35 id 		XOR EAX,imm32 		1 		Exclusive-OR immediate dword to EAX
80 /6 ib 	XOR r/m8,imm8 		1/3 		Exclusive-OR immediate byte to r/m byte
81 /6 iw 	XOR r/m16,imm16 	1/3 		Exclusive-OR immediate word to r/m word
81 /6 id 	XOR r/m32,imm32 	1/3 		Exclusive-OR immediate dword to r/m dword
83 /6 ib 	XOR r/m16,imm8 		1/3 		XOR sign-extended immediate byte with r/m word
83 /6 ib 	XOR r/m32,imm8 		1/3 		XOR sign-extended immediate byte with r/m dword
30 /r 		XOR r/m8,r8 		1/3 		Exclusive-OR byte register to r/m byte
31 /r 		XOR r/m16,r16 		1/3 		Exclusive-OR word register to r/m word
31 /r 		XOR r/m32,r32 		1/3 		Exclusive-OR dword register to r/m dword
32 /r 		XOR r8,r/m8 		1/2 		Exclusive-OR byte register to r/m byte
33 /r 		XOR r16,r/m16 		1/2 		Exclusive-OR word register to r/m word
33 /r 		XOR r32,r/m32 		1/2 		Exclusive-OR dword register to r/m dword
